Name,R [mm],P5 - rad2 [mm],H [mm],T [C],Max coating stress [MPa],Max substrate-coating normal stress [MPa],Max substrate-coating shear stress [MPa],Min substrate-coating shear stress [MPa],Contact stress [Mpa],Substrate stress 0.1 mm under coating interface[MPa],Substrate stress 0.2 mm under coating interface[MPa],Substrate stress 0.3 mm under coating interface[MPa]
DP 32,20,20,0.2,800,432.526104502851,91.8666763305664,152.619216918945,-150.969390869141,714.50732421875,280.378711411278,275.693156160805,270.025275462927
DP 33,20,20,0.25,800,456.946306199931,72.364200592041,154.313995361328,-149.950088500977,662.199951171875,284.808071934391,278.499040279612,271.009358064187
DP 34,20,20,0.3,800,444.161680063913,60.1054553985596,157.138931274414,-150.13313293457,701.968444824219,287.611906042051,280.316719693214,271.710506708644
DP 35,1000,1000,0.1,800,510.644616428904,176.034187316895,138.159927368164,-138.965591430664,649.670257568359,278.049742753309,274.31075917125,268.374968208645
DP 36,1000,1000,0.15,800,508.743842294244,121.412521362305,141.626480102539,-142.234222412109,649.776336669922,282.488570369702,276.918366310764,270.006180679555
DP 37,1000,1000,0.2,800,503.569897447294,91.4766693115234,143.839752197266,-144.287170410156,657.774566650391,286.253218607461,279.459131913809,271.243491568716
DP 38,1000,1000,0.25,800,521.027309000635,72.6173706054688,143.88395690918,-144.694458007813,650.435821533203,289.217712229457,281.286329187222,271.854335643791
DP 39,1000,1000,0.3,800,506.684395892477,59.423189163208,143.367248535156,-144.116714477539,655.805023193359,291.364850196939,282.327800465444,271.754844247402
DP 40,16,16,0.1,600,449.702919621442,180.967041015625,110.608551025391,-110.555854797363,682.873657226563,242.576245948845,226.482219145301,214.170263437962
DP 41,16,16,0.15,600,441.231828676498,126.219142913818,119.168403625488,-119.116409301758,732.236633300781,243.975007746876,228.539458446594,215.463192738238
DP 42,16,16,0.2,600,433.427366663661,95.5512504577637,114.793617248535,-116.140029907227,687.966674804688,244.599963069123,228.23376505051,214.272049104085
DP 43,16,16,0.25,600,429.304935220644,76.1130790710449,114.069297790527,-115.444076538086,764.533935546875,241.519570761717,224.963389904326,210.396808612892
DP 44,16,16,0.3,600,431.427852181563,62.6560840606689,112.110954284668,-113.473365783691,743.353546142578,239.850321889011,223.202308457331,208.241680176037
DP 45,18,18,0.1,600,451.020659582631,180.500534057617,111.431785583496,-109.959274291992,677.035430908203,244.231124066619,228.964229316497,215.032301939888
DP 46,18,18,0.15,600,450.810919883431,127.269985198975,114.007415771484,-112.507049560547,723.522247314453,244.632628445804,229.085936107741,214.350953525174
DP 47,18,18,0.2,600,444.468460047411,96.1724128723145,113.189437866211,-112.588386535645,725.628570556641,244.41989220246,227.531820433501,213.288837185929
DP 48,18,18,0.25,600,459.952446011269,75.8930473327637,112.183799743652,-111.554809570313,687.709167480469,243.184751956822,226.213008625876,211.548069329555
DP 49,18,18,0.3,600,456.608114984672,62.5504264831543,111.445449829102,-110.483200073242,684.119354248047,240.296062760609,223.355614906,208.39048841074
DP 50,20,20,0.1,600,443.977808678726,182.965942382813,111.884048461914,-111.48787689209,709.826934814453,243.913041994688,227.317519580837,214.199188021858
DP 51,20,20,0.15,600,430.864810759868,126.450569152832,114.528831481934,-114.141883850098,733.314270019531,244.081264882784,227.546287009213,213.55406850227
DP 52,20,20,0.2,600,430.976634093373,95.9211158752441,114.177619934082,-113.240501403809,730.89013671875,244.266651647114,227.833552563154,213.043014019864
DP 53,20,20,0.25,600,454.761994710861,75.5113182067871,111.798156738281,-110.489379882813,681.048919677734,243.523005805785,226.550649952643,210.97740480925
DP 54,20,20,0.3,600,439.096276870026,62.6047248840332,110.771354675293,-109.14803314209,718.190673828125,241.397552804163,224.439365403685,208.609440144445
DP 55,1000,1000,0.1,600,501.180182424999,185.669570922852,107.698059082031,-108.156028747559,668.452911376953,250.225184805535,231.801402040269,215.70256258863
DP 56,1000,1000,0.15,600,502.817644016352,127.060657501221,109.15641784668,-109.563682556152,665.319519042969,248.824658197381,230.217078372365,213.514745512961
DP 57,1000,1000,0.2,600,499.271551177412,95.4356918334961,109.476638793945,-109.763763427734,673.54443359375,247.092906279709,228.475034862574,211.392378447772
DP 58,1000,1000,0.25,600,521.026723983165,75.6877822875977,108.17081451416,-108.742286682129,666.103149414063,244.776619288171,226.189268818266,208.840844040733
DP 59,1000,1000,0.3,600,502.287000604981,62.0155773162842,106.444618225098,-106.963661193848,671.214263916016,241.930327782431,223.343984393795,205.813816426922
DP 60,16,16,0.1,400,456.446548045131,182.359428405762,60.8990364074707,-60.8679542541504,699.410583496094,159.995455546003,141.733216810895,131.372431090891
DP 61,16,16,0.15,400,447.399140102601,127.293472290039,65.4240798950195,-65.3916931152344,746.136962890625,155.889083470385,141.171050985136,130.96063216975
DP 62,16,16,0.2,400,437.713306128784,96.3854026794434,61.9854507446289,-62.2574653625488,704.584838867187,154.003308885645,139.738766973687,129.160489848182
DP 63,16,16,0.25,400,433.21603016519,76.8573837280273,60.9735832214355,-61.2374725341797,776.594665527344,150.03872718949,136.446340775501,125.69570011166
DP 64,16,16,0.3,400,433.681997580858,63.4588050842285,59.4090538024902,-59.6687927246094,755.940002441406,147.418763524462,134.284895772489,123.451051872641
DP 65,18,18,0.1,400,457.225379665083,182.267417907715,61.4374008178711,-60.6738204956055,693.387939453125,160.936549824397,143.539711688527,131.804899162985
DP 66,18,18,0.15,400,455.00034815793,128.372138977051,62.6061973571777,-61.8229751586914,736.787414550781,156.616106475413,141.815160544721,130.147898237648
DP 67,18,18,0.2,400,447.602663378213,96.9240036010742,61.6072731018066,-61.3783531188965,739.74609375,153.793090048153,139.169444259238,128.351359927524
DP 68,18,18,0.25,400,462.513471989917,76.6531639099121,60.4836845397949,-60.2854385375977,703.285858154297,151.05340986334,137.165225158744,126.299999109773
DP 69,18,18,0.3,400,457.833541695421,63.3452110290527,59.7437324523926,-59.4465866088867,699.35009765625,147.568045220481,134.266951177635,123.410924127579
DP 70,20,20,0.1,400,450.782845565869,184.583358764648,61.7275886535645,-61.4897117614746,724.600891113281,160.439403498314,142.057101590521,131.237924573268
DP 71,20,20,0.15,400,437.471816084198,127.645107269287,62.9450569152832,-62.7119407653809,745.399749755859,156.001251760197,140.425147897286,129.581992800349
DP 72,20,20,0.2,400,435.532426848058,96.7798271179199,62.4189071655273,-61.9279823303223,744.047241210938,153.547200225678,139.370721731511,128.193268868513
DP 73,20,20,0.25,400,457.178873281411,76.477725982666,60.6466789245606,-60.0656280517578,696.939331054687,151.197645363336,137.435704683963,125.942697200945
DP 74,20,20,0.3,400,441.179395840213,63.6402454376221,59.5591201782227,-58.9416160583496,731.5517578125,148.21632458184,135.010168079593,123.556270039026
DP 75,1000,1000,0.1,400,505.831984151762,187.332916259766,59.8995742797852,-60.1135101318359,682.809692382812,163.597515553478,144.641928781925,131.956404704001
DP 76,1000,1000,0.15,400,506.99698504381,128.414077758789,60.5148544311524,-60.7170486450195,677.841644287109,158.447582921576,141.706427735445,129.057380825364
DP 77,1000,1000,0.2,400,501.866009847615,96.7269287109375,60.4053802490234,-60.5450019836426,686.676788330078,154.573122512516,139.140054411836,126.569178041953
DP 78,1000,1000,0.25,400,524.488393731106,77.0576515197754,59.3995704650879,-59.6905708312988,679.91064453125,151.073001548467,136.438042199297,123.942503957516
DP 79,1000,1000,0.3,400,501.538636776509,63.5172119140625,58.1326408386231,-58.3954811096191,684.262969970703,147.668400703486,133.531779871158,121.113068857823
DP 80,16,16,0.1,200,457.096526281252,182.992027282715,30.7060260772705,-30.6535787582397,711.037811279297,98.3278571882092,70.2880965720162,57.5916016742943
DP 81,16,16,0.15,200,446.970486572344,127.999160766602,27.0991821289063,-27.023434638977,755.629455566406,82.015878500692,63.7895873215188,54.2613571369278
DP 82,16,16,0.2,200,435.506284639299,97.1407318115234,21.3957624435425,-21.3126497268677,716.310211181641,73.4769762949714,59.6381593431286,51.5325985865446
DP 83,16,16,0.25,200,430.604839827267,77.7108192443848,18.7521419525146,-18.635853767395,784.794036865234,66.5921879256594,55.5660929606322,48.4793536765134
DP 84,16,16,0.3,200,429.661043932395,64.5222053527832,16.8733758926392,-16.7720127105713,764.5498046875,61.861214819059,52.5843856985372,46.1894258715257
DP 85,18,18,0.1,200,457.293792059549,183.144493103027,30.8497676849365,-31.3760137557983,704.886474609375,98.4910893224972,70.8191373752937,57.2734306354948
DP 86,18,18,0.15,200,452.388604384639,129.109889984131,25.257098197937,-25.6901683807373,745.813110351563,82.877156169504,64.533766178683,53.8681538726755
DP 87,18,18,0.2,200,444.289128957052,97.5560493469238,21.1849479675293,-21.4513692855835,749.446441650391,73.2586158010986,59.2891713234993,51.0825751252424
DP 88,18,18,0.25,200,458.909950675091,77.4712142944336,18.6349487304688,-18.8612041473389,714.343353271484,66.8492661020008,55.7073860429969,48.5540452017428
DP 89,18,18,0.3,200,453.209899397175,64.3535041809082,16.9124736785889,-17.008020401001,710.165710449219,61.7734114497639,52.4571104865953,46.0311402351873
DP 90,20,20,0.1,200,451.328631034123,185.384002685547,31.729398727417,-31.4936504364014,734.623321533203,97.7553741771289,70.0478252048101,57.455468134611
DP 91,20,20,0.15,200,437.250335389603,128.449249267578,26.0736141204834,-25.9498519897461,753.586669921875,82.3181074888872,63.7335172055049,53.9245751463972
DP 92,20,20,0.2,200,433.610042300921,97.5033111572266,21.8691253662109,-21.757134437561,753.030303955078,73.0250215232737,59.4577662662513,51.0108041797567
DP 93,20,20,0.25,200,453.283329212522,77.4851379394531,18.9140901565552,-18.8649463653564,708.244110107422,67.0113989276998,55.9313304999231,48.5474504757667
DP 94,20,20,0.3,200,438.166942996901,64.8704223632813,17.0320177078247,-17.064624786377,740.716613769531,62.0875094692423,52.8383560807857,46.2014040588538
DP 95,1000,1000,0.1,200,502.445820332005,188.059860229492,33.9271354675293,-32.6860046386719,692.610382080078,97.5425169338516,69.8901393869923,57.7986023582363
DP 96,1000,1000,0.15,200,503.084464582927,129.289054870605,27.0425577163696,-26.713586807251,686.352691650391,82.6757631971142,63.982120646103,53.8501069301132
DP 97,1000,1000,0.2,200,496.666563229121,97.7501792907715,22.7062768936157,-22.4338541030884,695.663177490234,73.0450750772434,59.1537320516301,50.608474887059
DP 98,1000,1000,0.25,200,521.674924049363,78.2986373901367,19.8641271591187,-19.721399307251,689.329162597656,66.4153306516037,55.3237358299338,47.8131199206757
DP 99,1000,1000,0.3,200,493.606729688115,64.9942245483399,17.7996282577515,-17.6917181015015,693.179473876953,61.4966413317016,52.1135047742106,45.2861874829135
DP 100,16,16,0.1,22,443.459939088582,183.544387817383,29.7672281265259,-29.7547178268433,718.937133789063,108.103280411031,75.0625075617643,56.4044618358006
DP 101,16,16,0.15,22,433.334529435152,128.859592437744,26.2351121902466,-26.2147121429443,761.97412109375,85.062145900426,63.5166739509911,49.8848318411459
DP 102,16,16,0.2,22,421.841831698682,98.2605094909668,20.3826713562012,-20.3636569976807,724.310333251953,70.2225599606321,55.5250763457117,45.150550188014
DP 103,16,16,0.25,22,417.654864281097,79.0829086303711,17.6202516555786,-17.5566711425781,790.259857177734,59.5517392509385,48.8848306302536,40.8225500613682
DP 104,16,16,0.3,22,417.237586865271,66.2292671203613,15.47882604599,-15.4534969329834,770.299377441406,51.7514347637079,43.6635124837098,37.2356575683755
DP 105,18,18,0.1,22,443.353543470495,183.816589355469,30.179256439209,-30.211651802063,712.703460693359,108.059265553684,74.2365231376671,55.4204013839439
DP 106,18,18,0.15,22,436.996582235058,129.94994354248,24.5618362426758,-24.6389350891113,751.824462890625,85.3349382131456,63.4575276843745,49.5091097657499
DP 107,18,18,0.2,22,430.475853488208,98.5148773193359,20.3656377792358,-20.3727693557739,755.948638916016,69.7781025692112,55.0647258055931,44.9599207913421
DP 108,18,18,0.25,22,446.304905185342,78.744327545166,17.5599584579468,-17.5953731536865,721.916320800781,59.2726754159609,48.5625447083581,40.6681467878773
DP 109,18,18,0.3,22,441.116052695509,65.9357872009277,15.5957608222961,-15.5996084213257,717.580688476563,51.5365490734676,43.3554916695737,37.0356648320136
DP 110,20,20,0.1,22,437.686834910376,185.982635498047,30.7450714111328,-30.6342601776123,741.292022705078,107.274348378738,74.4866232313748,56.1889565085236
DP 111,20,20,0.15,22,423.317274954669,129.29606628418,25.1275386810303,-25.1246423721313,759.024078369141,84.9884708236617,63.6096364183638,50.0791254558481
DP 112,20,20,0.2,22,420.646156047784,98.4723205566406,20.9036483764648,-20.820351600647,759.026580810547,69.5795490350416,55.0638416681583,44.5144401399697
DP 113,20,20,0.25,22,440.246271754792,78.8395385742188,17.6670379638672,-17.6800394058228,715.979034423828,59.5474691011709,48.4196534794712,40.656967857082
DP 114,20,20,0.3,22,427.10596518532,66.5532722473145,15.6126675605774,-15.6359004974365,746.845367431641,51.7658808827757,43.2415639702758,37.0835421394967
DP 115,1000,1000,0.1,22,483.122887491879,188.347702026367,32.6577892303467,-32.0172557830811,699.12841796875,106.048323885193,71.483302100058,55.2487396185754
DP 116,1000,1000,0.15,22,484.936079032267,129.843528747559,26.0126037597656,-25.7622852325439,691.978607177734,84.3486769037032,62.7622309822079,49.8666498718829
DP 117,1000,1000,0.2,22,479.626600397506,98.5149154663086,21.4833154678345,-21.3667068481445,701.6220703125,69.5920061395285,54.5610566394032,44.7151992311425
DP 118,1000,1000,0.25,22,512.07786148303,79.3182945251465,18.4309759140015,-18.3677396774292,695.568115234375,59.2422789341763,48.1944597478734,40.4643727728012
DP 119,1000,1000,0.3,22,477.050107259622,66.2860717773438,16.009614944458,-15.9659452438354,699.079498291016,51.576705857254,43.1405706459915,36.931541745779
DP 120,16,16,0.1,1000,487.659112646072,149.743263244629,128.190979003906,-128.129776000977,601.363006591797,177.100371774172,203.327264868708,228.323467946954
DP 121,16,16,0.15,1000,461.533395893069,106.596412658691,144.059631347656,-143.98908996582,661.912750244141,191.699316801776,218.26141412482,241.225022206816
DP 122,16,16,0.2,1000,448.246814201091,83.0159759521484,153.561859130859,-157.960525512695,615.075561523438,206.447012984019,230.889965820691,251.294157408363
DP 123,16,16,0.25,1000,436.606570615004,67.223819732666,161.266906738281,-165.819808959961,706.006591796875,218.406145557849,240.315163728606,257.908541567228
DP 124,16,16,0.3,1000,436.08507106484,56.055871963501,166.888092041016,-171.57958984375,683.361022949219,231.260975275683,250.911305639377,266.139418122842
DP 125,18,18,0.1,1000,490.645500111008,145.748374938965,128.195007324219,-125.697860717773,596.471466064453,178.993683124317,205.670462223958,230.632464132306
DP 126,18,18,0.15,1000,473.106103799616,108.384578704834,138.586791992188,-135.154434204102,655.754425048828,192.843273521162,218.938006599586,241.508042470648
DP 127,18,18,0.2,1000,458.69745602768,83.3438568115234,147.000411987305,-145.541442871094,658.132751464844,207.272139102185,231.768510496189,252.422612256878
DP 128,18,18,0.25,1000,468.584743764438,66.5779457092285,154.133453369141,-152.518157958984,621.363677978516,220.953468227469,243.231010126584,261.469309875782
DP 129,18,18,0.3,1000,462.33692064248,55.6838035583496,161.203430175781,-157.587615966797,619.710845947266,232.885552633645,252.724847426511,268.436325241208
DP 130,20,20,0.1,1000,486.174111035965,151.277870178223,127.75594329834,-127.518539428711,629.084167480469,179.49685275022,206.25794524738,230.396186149836
DP 131,20,20,0.15,1000,451.24971446699,107.693492889404,137.355361938477,-137.169006347656,668.988372802734,193.309595111839,219.628244634129,241.30660490484
DP 132,20,20,0.2,1000,444.073868801111,83.4935455322266,144.300140380859,-143.300765991211,666.822845458984,208.309758821798,232.609940544664,253.140631788628
DP 133,20,20,0.25,1000,464.036144256815,66.7936744689941,150.96174621582,-146.286636352539,613.463592529297,222.46910795152,244.140969193234,261.254046994255
DP 134,20,20,0.3,1000,452.666180273804,56.035717010498,159.160400390625,-151.105819702148,655.300598144531,235.201823649882,254.537532530818,269.091788131654
DP 135,1000,1000,0.1,1000,546.165057074182,152.195739746094,117.61637878418,-118.730491638184,593.262817382812,189.154521110281,218.27886654717,241.373285663342
DP 136,1000,1000,0.15,1000,527.314237243849,109.532764434814,125.921585083008,-126.566841125488,602.481323242187,203.547272037111,229.810763425015,251.711255084431
DP 137,1000,1000,0.2,1000,514.890814091903,84.2632904052734,132.908020019531,-133.439270019531,613.845916748047,217.790464805804,241.743152707597,260.801199075219
DP 138,1000,1000,0.25,1000,518.065905985756,81.980583190918,137.599136352539,-138.409088134766,609.284027099609,231.424498913022,252.733122805612,268.993757956391
DP 139,1000,1000,0.3,1000,509.012015180834,79.7140579223633,141.458724975586,-142.243957519531,613.750732421875,244.022894230995,262.611824659025,275.873909527881
DP 140,16,16,0.1,1000,487.659112646072,149.743263244629,128.190979003906,-128.129776000977,601.363006591797,177.100371774172,203.327264868708,228.323467946954
DP 146,14,14,0.1,1000,466.909335737802,143.113189697266,135.075881958008,-131.504409790039,593.922790527344,175.46362588516,201.350925971388,226.609678592555
DP 147,14,14,0.15,1000,446.717594511661,112.511283874512,153.634201049805,-147.148712158203,707.874847412109,188.965565283392,214.833148814516,237.673720146891
DP 148,14,14,0.2,1000,448.342331646263,81.4708595275879,154.903411865234,-154.628875732422,623.092712402344,204.036815775761,228.396978226444,248.95215474697
DP 149,14,14,0.25,1000,446.72580298614,69.2917823791504,165.468063354492,-165.424362182617,703.09716796875,217.377960004128,239.93393554899,258.199676950352
DP 150,14,14,0.3,1000,451.275458539559,55.6572113037109,168.05290222168,-167.894821166992,636.162750244141,230.515741726507,250.672907930787,266.512523908501
DP 151,14,14,0.1,800,431.62772089224,168.895141601563,150.504348754883,-147.306869506836,661.101165771484,265.485188185109,263.395973159914,262.115486403188
DP 152,14,14,0.15,800,426.781903458237,123.959125518799,164.539993286133,-158.654083251953,753.061981201172,271.560352893636,268.486930459848,265.409881553241
DP 153,14,14,0.2,800,436.157516374646,90.6866149902344,160.956405639648,-160.675872802734,676.455017089844,277.956123569969,273.682080647024,269.134936212593
DP 154,14,14,0.25,800,439.045095522755,74.515739440918,166.767440795898,-166.713348388672,747.944458007813,281.525448515052,276.588218260755,270.876174620108
DP 155,14,14,0.3,800,447.075012934778,60.1799125671387,163.565277099609,-163.405609130859,686.3447265625,285.258429470454,278.962958780662,271.963268929546
DP 156,14,14,0.1,600,427.407414729799,179.379364013672,113.361541748047,-112.13801574707,685.175720214844,241.595113710895,225.60169097595,214.040953463909
DP 157,14,14,0.15,600,425.069362906628,129.160926818848,118.623512268066,-116.506401062012,768.042999267578,242.167924035066,226.300555317207,213.646286911136
DP 158,14,14,0.2,600,434.629372927789,94.8853149414063,116.008522033691,-115.799430847168,696.639801025391,243.23857401337,227.110966654773,213.647104269458
DP 159,14,14,0.25,600,436.593548643451,77.2022438049316,118.922866821289,-118.845336914063,763.189819335938,241.641204048776,225.887831531413,212.016008238312
DP 160,14,14,0.3,600,445.429170444822,62.5336608886719,112.989791870117,-112.839088439941,705.518646240234,240.609651562595,224.35481871483,209.929083515271
DP 161,14,14,0.1,400,435.034012499933,181.066207885742,62.2628173828125,-61.6602363586426,703.287353515625,159.49704459009,141.042655003869,131.250687614569
DP 162,14,14,0.15,400,432.030773520806,129.899871826172,64.1515960693359,-63.5624923706055,779.661804199219,155.157401587529,139.756250816383,129.787760948299
DP 163,14,14,0.2,400,439.305191218536,95.6359710693359,62.822925567627,-62.7076644897461,713.391571044922,153.192899821745,138.995223851642,128.779857591031
DP 164,14,14,0.25,400,438.868461089678,77.856559753418,64.1788482666016,-64.1273956298828,775.577453613281,149.950599474955,136.989228612997,126.777389821354
DP 165,14,14,0.3,400,447.233944344083,63.2377700805664,59.9936447143555,-59.9058647155762,721.745819091797,148.028851803037,135.101580110595,124.628285961751
DP 166,14,14,0.1,200,436.253388619238,181.844665527344,30.5707178115845,-30.6925296783447,715.912689208984,98.3780403094682,69.773949465592,57.271109847234
DP 167,14,14,0.15,200,432.316950059085,130.401229858398,25.8215627670288,-25.9374589920044,787.524536132813,82.4273676473434,63.416708318137,53.7829088541602
DP 168,14,14,0.2,200,437.587471780791,96.3114776611328,21.4118804931641,-21.6154661178589,725.230621337891,73.175860869442,59.1524795805011,51.1857620271139
DP 169,14,14,0.25,200,434.510801394435,78.7026672363281,19.5682640075684,-19.7166910171509,784.017028808594,66.0796969077208,55.3147418553758,48.556808679219
DP 170,14,14,0.3,200,442.94595193245,64.2422637939453,16.8198547363281,-16.9584646224976,733.253143310547,62.036384190568,52.7299925145596,46.4858925728683
DP 171,14,14,0.1,22,421.730781025947,182.515632629395,29.6803760528564,-29.766074180603,724.43701171875,108.411487893444,75.1085881831689,56.343752947806
DP 172,14,14,0.15,22,418.351740432069,131.203186035156,25.0027208328247,-25.0700511932373,792.748687744141,85.4030387768612,63.8973040849169,50.1238523443103
DP 173,14,14,0.2,22,424.389066977212,97.4468460083008,20.5839538574219,-20.5762243270874,733.300079345703,70.2368635400061,55.4500031880259,45.0238705079418
DP 174,14,14,0.25,22,420.187928288716,80.1928291320801,18.5723848342896,-18.5741052627563,789.640899658203,59.5365907098819,48.5902890379152,40.47233109519
DP 175,14,14,0.3,22,430.459904592823,66.0174980163574,15.6124243736267,-15.640748500824,741.117919921875,51.7753695678603,43.6016246720671,37.1304550518394
DP 181,22,22,0.1,1000,610.58279245383,156.674995422363,124.928535461426,-124.627815246582,640.586608886719,181.081436668425,208.058831653845,232.968390785992
DP 182,22,22,0.15,1000,605.420810246563,111.30143737793,128.399612426758,-128.439193725586,662.555450439453,195.441235511737,220.948272571834,243.609080913539
DP 183,22,22,0.2,1000,589.69361996632,85.5522384643555,143.069671630859,-143.846298217773,676.106903076172,209.653364586302,234.20641509336,254.443823910408
DP 184,22,22,0.25,1000,588.034308059491,68.877613067627,145.941101074219,-148.271942138672,673.81591796875,223.760209783421,245.709777552713,263.4868932881
DP 185,22,22,0.3,1000,582.992682160426,57.3931407928467,151.462371826172,-150.968780517578,675.157562255859,235.620849152682,254.932014096652,270.104198172143
DP 186,22,22,0.1,800,558.642365701706,177.385177612305,142.511474609375,-143.309753417969,689.676239013672,270.38565956208,268.42701299078,265.05331581471
DP 187,22,22,0.15,800,584.284855673133,123.999980926514,140.353256225586,-141.140914916992,704.566131591797,276.724777215367,272.589933117675,267.549011225746
DP 188,22,22,0.2,800,575.528038422106,93.3708801269531,150.845962524414,-152.219482421875,713.854461669922,281.948814910262,276.658452763078,271.163788259569
DP 189,22,22,0.25,800,583.133327054655,74.2019996643066,148.832992553711,-151.51936340332,713.301147460938,286.245836980686,279.415669172418,272.671779768673
DP 190,22,22,0.3,800,579.600198804563,60.7451972961426,150.697296142578,-150.222442626953,710.880950927734,287.422382208813,280.245216860708,272.017153005496
DP 191,22,22,0.1,600,548.292165363597,185.701766967773,109.500709533691,-110.153526306152,706.901641845703,244.758976625912,229.06117669846,215.181241329164
DP 192,22,22,0.15,600,578.49903124765,129.488143920898,106.347579956055,-106.836479187012,717.875671386719,245.668506523713,228.886334178677,213.955553540159
DP 193,22,22,0.2,600,570.947704076329,97.1457977294922,113.252853393555,-114.223960876465,727.303161621094,245.607768994218,228.399205387374,213.878713620018
DP 194,22,22,0.25,600,578.964900272858,77.0625801086426,108.247398376465,-109.160690307617,726.75537109375,244.799389035771,227.051500661523,212.067989041523
DP 195,22,22,0.3,600,574.885218246837,63.0012989044189,110.452285766602,-110.150688171387,723.801574707031,240.876534084361,224.156447493764,208.565261965346
DP 196,22,22,0.1,400,557.640718265423,186.841819763184,60.4649085998535,-60.8161773681641,720.220947265625,160.767703726924,143.358660740813,132.015733275816
DP 197,22,22,0.15,400,585.962393537358,130.425682067871,58.3620452880859,-58.6215744018555,728.866241455078,157.385537706653,141.581940274164,129.919701311959
DP 198,22,22,0.2,400,575.796811094442,98.0309715270996,61.921947479248,-62.413818359375,738.618469238281,154.394746340092,139.72784960908,128.700479726367
DP 199,22,22,0.25,400,581.776011403547,77.965202331543,58.6995506286621,-59.0942840576172,738.176177978516,152.136329613592,137.760884027874,126.616843145831
DP 200,22,22,0.3,400,575.253033995081,64.0927200317383,59.671760559082,-59.5407791137695,734.793182373047,147.641362712061,134.741306894001,123.455148161001
DP 201,22,22,0.1,200,556.607166791656,187.271423339844,30.3562984466553,-30.450345993042,729.435546875,97.302928561758,69.8907136610385,57.6095495916532
DP 202,22,22,0.15,200,582.953548431718,131.01301574707,23.168909072876,-23.1467313766479,736.496124267578,83.1996296475823,64.4028982274251,54.1848576965304
DP 203,22,22,0.2,200,570.439086757858,98.8112716674805,21.7176694869995,-21.4705924987793,746.520416259766,73.4433865176048,59.3960188003837,51.2526514508414
DP 204,22,22,0.25,200,574.459959687745,78.9289283752441,18.3383388519287,-18.1994533538818,746.167877197266,67.5072540354233,56.0794553482572,48.8390478213762
DP 205,22,22,0.3,200,565.847392851191,65.3919372558594,17.1889581680298,-17.086217880249,742.470855712891,61.6478092723774,52.6300234498378,46.0987983470159
DP 206,22,22,0.1,22,531.104453245689,187.58952331543,29.4853029251099,-29.4750509262085,735.637756347656,106.475375404724,72.4475215041309,55.059964155178
DP 207,22,22,0.15,22,558.030989047398,131.665191650391,22.2900009155273,-22.2161550521851,741.652862548828,84.7408690651417,63.0773154682591,49.8014922831726
DP 208,22,22,0.2,22,545.825456776283,99.7938423156738,20.5904865264893,-20.5226831436157,751.876708984375,70.0156800083733,54.3766211175528,44.7368117888883
DP 209,22,22,0.25,22,549.886759597256,80.2097282409668,17.0578470230103,-17.0388793945313,751.593566894531,59.4944419873289,48.2358137404773,40.7171821630503
DP 210,22,22,0.3,22,541.18117838045,67.0674514770508,15.7141470909119,-15.7041077613831,747.676361083984,51.8270517315281,42.9668506899576,36.8792843080003
